imb,smote,smote,smote,smote,smote,smote,smote,smote,smote,smote,rus,rus,rus,rus,rus,rus,rus,rus,rus,rus,wilson,wilson,wilson,wilson,wilson,wilson,wilson,wilson,wilson,wilson,tomek,tomek,tomek,tomek,tomek,tomek,tomek,tomek,tomek,tomek,ens,ens,ens,ens,ens,ens,ens,ens,sim,sim,sim,sim
clf,dt,dt,lr,lr,nb,nb,knn,knn,rf,rf,dt,dt,lr,lr,nb,nb,knn,knn,rf,rf,dt,dt,lr,lr,nb,nb,knn,knn,rf,rf,dt,dt,lr,lr,nb,nb,knn,knn,rf,rf,rboost_DT,rboost_DT,rboost_NB,rboost_NB,bbag_DT,bbag_DT,bbag_NB,bbag_NB,LR,LR,RF,RF
metric,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score
activemq-5.8.0.csv,0.19850743136970667,0.284751767457235,0.2485781726849057,0.30492138938767427,0.2855774395828153,0.40398200994238637,0.21798498901243107,0.2985004779093339,0.25308771408004754,0.2936296156513999,0.1897833909879805,0.41200497407643455,0.24944232265080682,0.30820623242570444,0.2788250002131308,0.4030148898453713,0.21025872316768573,0.28894670211523105,0.2508698372964134,0.2895997335051031,0.22233535959834339,0.3041666678103152,0.27056288462241607,0.2992566030234916,0.2883273230545633,0.410005045007542,0.2243505872389746,0.2568789366329109,0.25831352952929426,0.3361036265850475,0.23307843707478249,0.30240895485090535,0.24522348788891973,0.32018827543001177,0.2972948585966357,0.3834761561771105,0.2240020404466728,0.272839940536748,0.27287004917833435,0.33848182270326366,0.24499546758858354,0.2915399691660425,0.2845927044739643,0.4225110114549379,0.26639465636660775,0.3089169365218854,0.28603797386365304,0.36966945616320573,0.2150252224030501,0.31299183019851196,0.264571863778583,0.324907160431864
groovy-1_6_BETA_1.csv,0.31421971493836925,0.4532301319936726,0.346650111713758,0.4012501391638574,0.259755922996918,0.4204176340224068,0.27765877854807935,0.4819827762982766,0.4238998937828775,0.47558844505000025,0.24060030695759047,0.4669705064153188,0.3316780379914748,0.3784845266391638,0.23989679206843856,0.4056564214789416,0.30073332188080626,0.46804346507235883,0.3359695811382297,0.48173276076245136,0.3440949654859034,0.48739665347415256,0.44693362081743854,0.40558126249216875,0.27919875138600264,0.41595124251784593,0.37669346991716235,0.5192312679595041,0.4178219962552062,0.49370257985788346,0.37557426487305734,0.4469966786284845,0.42566611923299286,0.462584414667516,0.262078133817406,0.4116905009696896,0.4430057041242233,0.42783539230602974,0.4440688033591661,0.4676341642976294,0.32117934490375094,0.49478176550218494,0.3054362307597351,0.3541956896390989,0.36887865098613987,0.4823696953869943,0.2427268503805508,0.36768177154194875,0.3803742529091105,0.43954729656324665,0.40195977164195545,0.46046192349614995
activemq-5.3.0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wicket-1.3.0-incubating-beta-1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jruby-1.1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jruby-1.4.0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lucene-2.3.0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hbase-0.95.2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lucene-3.0.0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel-2.9.0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wicket-1.5.3.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lucene-3.1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groovy-1_6_BETA_2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activemq-5.2.0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groovy-1_5_7.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hbase-0.95.0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel-2.11.0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jruby-1.7.0.preview1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hive-0.10.0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel-2.10.0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derby-10.2.1.6.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jruby-1.5.0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derby-10.3.1.4.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lucene-2.9.0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hbase-0.94.0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
camel-1.4.0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activemq-5.1.0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
activemq-5.0.0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derby-10.5.1.1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wicket-1.3.0-beta2.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hive-0.12.0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hive-0.9.0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
