,PN,ePN,NP,eNP,bug-ih,clean-ih
activemq-5.8.0.csv,100,25,97,172,0.7901477832512316,0.04525955859496426
groovy-1_6_BETA_1.csv,29,39,76,66,0.5247863247863248,0.09204545454545456
activemq-5.3.0.csv,169,89,53,133,0.7816901408450703,0.04206741573033708
wicket-1.3.0-incubating-beta-1.csv,44,86,231,189,0.6076388888888888,0.12283236994219653
jruby-1.1.csv,27,59,101,69,0.4422360248447206,0.15368421052631578
jruby-1.4.0.csv,83,67,103,119,0.5660000000000001,0.13856041131105398
lucene-2.3.0.csv,100,57,64,107,0.6012500000000001,0.13891472868217056
hbase-0.95.2.csv,423,363,54,114,0.8210526315789474,0.05337209302325581
lucene-3.0.0.csv,106,97,141,150,0.6568421052631579,0.11752397558849173
camel-2.9.0.csv,156,116,157,197,0.88,0.02153179190751445
wicket-1.5.3.csv,89,73,77,93,0.8860215053763439,0.031066398390342052
lucene-3.1.csv,56,115,280,221,0.5915407854984894,0.0732121212121212
groovy-1_6_BETA_2.csv,29,27,56,58,0.6077669902912621,0.08655569782330345
activemq-5.2.0.csv,148,91,83,140,0.761038961038961,0.05800636267232238
groovy-1_5_7.csv,5,13,59,51,0.6325000000000001,0.06469719350073855
hbase-0.95.0.csv,341,300,49,90,0.8505494505494506,0.04182509505703422
camel-2.11.0.csv,100,27,108,181,0.8440000000000001,0.018898912792042564
jruby-1.7.0.preview1.csv,42,41,118,119,0.6760736196319018,0.06602343211578222
hive-0.10.0.csv,160,144,36,52,0.8153846153846154,0.022546419098143235
camel-2.10.0.csv,169,131,250,288,0.8096463022508038,0.03077732474023412
derby-10.2.1.6.csv,525,392,44,177,0.7422222222222222,0.0727986539540101
jruby-1.5.0.csv,26,93,220,153,0.48695652173913045,0.15415204678362573
derby-10.3.1.4.csv,550,431,38,157,0.8114649681528661,0.059834065397755
lucene-2.9.0.csv,152,126,157,183,0.5338129496402878,0.13779816513761467
hbase-0.94.0.csv,184,152,35,67,0.6869565217391304,0.045454545454545456
camel-1.4.0.csv,174,164,252,262,0.6231404958677685,0.18020833333333336
activemq-5.1.0.csv,89,54,74,109,0.6964028776978418,0.05090114691425451
activemq-5.0.0.csv,236,182,25,79,0.773170731707317,0.032741398446170925
derby-10.5.1.1.csv,272,174,69,167,0.7311111111111113,0.04998019801980198
wicket-1.3.0-beta2.csv,75,113,250,212,0.5967213114754099,0.12016460905349793
hive-0.12.0.csv,199,185,32,46,0.8782608695652173,0.011926605504587155
hive-0.9.0.csv,242,202,12,52,0.7660377358490565,0.02127659574468085
